ic:種別,ic:名称,odp:standardAreaCode,ic:都道府県,ic:市区町村,schema:address,ic:緯度,ic:経度,sabaecc:geo3x3
避難場所,北の丸公園,131016,東京都,千代田区,東京都千代田区北の丸公園1ほか,35.691980,139.750564,E91396833661828
避難場所,皇居東御苑,131016,東京都,千代田区,東京都千代田区千代田1,35.686863,139.757162,E91396911185714
避難場所,皇居外苑,131016,東京都,千代田区,東京都千代田区皇居外苑1ほか,35.680258,139.757693,E91396911125283
避難場所,日比谷公園,131016,東京都,千代田区,東京都千代田区日比谷公園1,35.673576,139.755893,E91396677743679
避難場所,真田堀運動場,131016,東京都,千代田区,東京都千代田区紀尾井町5ほか,35.682780,139.731059,E91396833153736
避難場所,外濠公園,131016,東京都,千代田区,東京都千代田区五番町先,35.688640,139.730970,E91396833423461
避難場所,京橋区民館,131024,東京都,中央区,東京都中央区京橋2-6-7,35.676558,139.771358,E91396677893693
避難場所,京橋プラザ,131024,東京都,中央区,東京都中央区銀座1-25-3,35.673233,139.771678,E91396677941199
避難場所,泰明小学校,131024,東京都,中央区,東京都中央区銀座5-1-13,35.672333,139.761326,E91396677739419
避難場所,銀座中学校,131024,東京都,中央区,東京都中央区銀座8-19-15,35.665698,139.765034,E91396677546973
避難場所,中央小学校,131024,東京都,中央区,東京都中央区湊1-4-1,35.672201,139.778753,E91396677938198
避難場所,明石小学校,131024,東京都,中央区,東京都中央区明石町1-15,35.668438,139.776409,E91396677685695
避難場所,京橋築地小学校,131024,東京都,中央区,東京都中央区築地2-13-1,35.667959,139.771414,E91396677674142
避難場所,京華スクエア,131024,東京都,中央区,東京都中央区八丁堀3-17-9,35.674903,139.775664,E91396677955786
避難場所,明正小学校,131024,東京都,中央区,東京都中央区新川2-13-4,35.675970,139.781569,E91396678772111
避難場所,常盤小学校,131024,東京都,中央区,東京都中央区日本橋本石町4-4-26,35.688476,139.770558,E91396911533189
避難場所,十思スクエア,131024,東京都,中央区,東京都中央区日本橋小伝馬町5-1,35.690646,139.777104,E91396911629563
避難場所,日本橋小学校,131024,東京都,中央区,東京都中央区日本橋人形町1-1-17,35.684677,139.781410,E91396912147683
避難場所,有馬小学校,131024,東京都,中央区,東京都中央区日本橋蛎殻町2-10-23,35.683272,139.787993,E91396912165247
避難場所,久松小学校,131024,東京都,中央区,東京都中央区日本橋久松町7-2,35.689029,139.784316,E91396912421948
避難場所,日本橋中学校,131024,東京都,中央区,東京都中央区東日本橋1-10-1,35.692498,139.787096,E91396912464284
避難場所,阪本小学校,131024,東京都,中央区,東京都中央区日本橋兜町15-18,35.679697,139.776766,E91396911323733
避難場所,佃島小学校,131024,東京都,中央区,東京都中央区佃2-3-1,35.668626,139.784580,E91396678484963
避難場所,佃中学校,131024,東京都,中央区,東京都中央区佃2-3-2,35.668054,139.785119,E91396678485259
避難場所,月島第一小学校,131024,東京都,中央区,東京都中央区月島4-15-1,35.660632,139.780067,E91396677399883
避難場所,月島第二小学校,131024,東京都,中央区,東京都中央区勝どき1-12-2,35.660249,139.775825,E91396677388548
避難場所,月島第三小学校,131024,東京都,中央区,東京都中央区晴海1-4-1,35.658852,139.785539,E91396678185365
避難場所,晴海中学校,131024,東京都,中央区,東京都中央区晴海1-5-3,35.659827,139.784584,E91396678187363
避難場所,豊海小学校,131024,東京都,中央区,東京都中央区豊海3-1,35.653533,139.771473,E91396677314773
