避難場所_名称,地方公共団体コード,都道府県,指定区市町村名,住所,緯度,経度
北の丸公園,131016,東京都,千代田区,東京都千代田区北の丸公園1ほか,35.691980,139.750564
皇居東御苑,131016,東京都,千代田区,東京都千代田区千代田1,35.686863,139.757162
皇居外苑,131016,東京都,千代田区,東京都千代田区皇居外苑1ほか,35.680258,139.757693
日比谷公園,131016,東京都,千代田区,東京都千代田区日比谷公園1,35.673576,139.755893
真田堀運動場,131016,東京都,千代田区,東京都千代田区紀尾井町5ほか,35.682780,139.731059
外濠公園,131016,東京都,千代田区,東京都千代田区五番町先,35.688640,139.730970
京橋区民館,131024,東京都,中央区,東京都中央区京橋2-6-7,35.676558,139.771358
京橋プラザ,131024,東京都,中央区,東京都中央区銀座1-25-3,35.673233,139.771678
泰明小学校,131024,東京都,中央区,東京都中央区銀座5-1-13,35.672333,139.761326
銀座中学校,131024,東京都,中央区,東京都中央区銀座8-19-15,35.665698,139.765034
中央小学校,131024,東京都,中央区,東京都中央区湊1-4-1,35.672201,139.778753
明石小学校,131024,東京都,中央区,東京都中央区明石町1-15,35.668438,139.776409
京橋築地小学校,131024,東京都,中央区,東京都中央区築地2-13-1,35.667959,139.771414
京華スクエア,131024,東京都,中央区,東京都中央区八丁堀3-17-9,35.674903,139.775664
明正小学校,131024,東京都,中央区,東京都中央区新川2-13-4,35.675970,139.781569
常盤小学校,131024,東京都,中央区,東京都中央区日本橋本石町4-4-26,35.688476,139.770558
十思スクエア,131024,東京都,中央区,東京都中央区日本橋小伝馬町5-1,35.690646,139.777104
日本橋小学校,131024,東京都,中央区,東京都中央区日本橋人形町1-1-17,35.684677,139.781410
有馬小学校,131024,東京都,中央区,東京都中央区日本橋蛎殻町2-10-23,35.683272,139.787993
久松小学校,131024,東京都,中央区,東京都中央区日本橋久松町7-2,35.689029,139.784316
日本橋中学校,131024,東京都,中央区,東京都中央区東日本橋1-10-1,35.692498,139.787096
阪本小学校,131024,東京都,中央区,東京都中央区日本橋兜町15-18,35.679697,139.776766
佃島小学校,131024,東京都,中央区,東京都中央区佃2-3-1,35.668626,139.784580
佃中学校,131024,東京都,中央区,東京都中央区佃2-3-2,35.668054,139.785119
月島第一小学校,131024,東京都,中央区,東京都中央区月島4-15-1,35.660632,139.780067
月島第二小学校,131024,東京都,中央区,東京都中央区勝どき1-12-2,35.660249,139.775825
月島第三小学校,131024,東京都,中央区,東京都中央区晴海1-4-1,35.658852,139.785539
